Time (s),I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
0.152,0.03616,-0.22656,-0.31784,0.1638,0.17946,-0.27108,0.2716,0.16538,0.20286,0.19496,-0.00656,-0.22464
0.154,0.03616,-0.23144,-0.32346,0.1638,0.18782,-0.27634,0.26662,0.16748,0.20286,0.19496,-0.00874,-0.22834
0.156,0.0442,-0.2217,-0.31784,0.15636,0.18782,-0.26582,0.26662,0.16328,0.19926,0.19152,-0.0131,-0.23206
0.158,0.06832,-0.20708,-0.31784,0.13402,0.19616,-0.26056,0.26662,0.16328,0.19926,0.19152,-0.01748,-0.23948
0.16,0.06832,-0.19734,-0.3122,0.12658,0.18782,-0.2553,0.26662,0.16328,0.19926,0.19324,-0.01528,-0.23578
0.162,0.06028,-0.19734,-0.30658,0.12658,0.17946,-0.25002,0.26162,0.16328,0.19748,0.19324,-0.01528,-0.23578
0.164,0.03616,-0.20708,-0.30096,0.14892,0.16276,-0.2553,0.25664,0.1591,0.19568,0.1898,-0.01966,-0.23948
0.166,0.02812,-0.21194,-0.30096,0.15636,0.16276,-0.2553,0.26162,0.157,0.19208,0.18808,-0.01966,-0.2432
0.168,0.03616,-0.2217,-0.31784,0.15636,0.17946,-0.26582,0.26162,0.1591,0.19208,0.18636,-0.01748,-0.2432
0.17,0.06028,-0.21194,-0.31784,0.14146,0.19616,-0.26056,0.26162,0.1591,0.19208,0.18636,-0.01748,-0.2432
0.172,0.03616,-0.21682,-0.3122,0.15636,0.17112,-0.26056,0.26162,0.1591,0.19208,0.18636,-0.01748,-0.2432
0.174,0.02812,-0.22656,-0.31784,0.1638,0.17112,-0.26582,0.26162,0.1612,0.19388,0.18464,-0.01748,-0.23948
0.176,0.0442,-0.21194,-0.3122,0.14892,0.17946,-0.2553,0.26662,0.16328,0.19568,0.18636,-0.01748,-0.23578
0.178,0.05224,-0.20708,-0.3122,0.14146,0.17946,-0.2553,0.26662,0.16328,0.19568,0.18808,-0.01748,-0.23948
0.18,0.02812,-0.2217,-0.3122,0.1638,0.17112,-0.26056,0.26162,0.1591,0.19208,0.18636,-0.02184,-0.2432
0.182,0.02812,-0.22656,-0.31784,0.1638,0.17112,-0.26582,0.26162,0.1591,0.1903,0.18636,-0.02184,-0.2432
0.184,0.02812,-0.2363,-0.32346,0.17126,0.17946,-0.27634,0.25664,0.157,0.1885,0.18464,-0.02184,-0.2432
0.186,0.06028,-0.21682,-0.32346,0.14146,0.19616,-0.26582,0.26162,0.157,0.1903,0.18464,-0.01748,-0.23578
0.188,0.01204,-0.23144,-0.3122,0.1787,0.16276,-0.26582,0.26662,0.1591,0.1903,0.18464,-0.01966,-0.23578
0.19,-0.0201,-0.2363,-0.29534,0.1936,0.12938,-0.26056,0.26662,0.1591,0.1903,0.18292,-0.01966,-0.23206
0.192,0.02812,-0.23144,-0.31784,0.17126,0.17946,-0.27108,0.25664,0.157,0.1867,0.1795,-0.02184,-0.23578
0.194,0.03616,-0.22656,-0.31784,0.1638,0.17946,-0.27108,0.25664,0.15492,0.1849,0.1795,-0.02184,-0.23578
0.196,0.03616,-0.2217,-0.31784,0.15636,0.17946,-0.26582,0.25664,0.157,0.1867,0.1795,-0.02402,-0.23578
0.198,0.0442,-0.23144,-0.32908,0.1638,0.19616,-0.27634,0.25166,0.15492,0.1867,0.1795,-0.02622,-0.23948
0.2,0.02008,-0.24606,-0.32908,0.18614,0.17946,-0.28688,0.25166,0.157,0.1867,0.1795,-0.02622,-0.23948
0.202,0.02008,-0.25092,-0.3347,0.18614,0.18782,-0.29214,0.25664,0.15492,0.1849,0.1812,-0.02402,-0.23948
0.204,0.02812,-0.24606,-0.3347,0.1787,0.18782,-0.28688,0.25664,0.15492,0.1849,0.1812,-0.02402,-0.23948
0.206,0.02812,-0.2363,-0.32346,0.17126,0.17946,-0.27634,0.25664,0.15282,0.18312,0.1795,-0.02622,-0.2432
0.208,0.03616,-0.23144,-0.32346,0.1638,0.18782,-0.27634,0.25664,0.15282,0.18132,0.17606,-0.03058,-0.2432
0.21,0.004,-0.23144,-0.30658,0.1787,0.15442,-0.26582,0.25166,0.14864,0.17952,0.17262,-0.03276,-0.2469
0.212,0.004,-0.23144,-0.30658,0.1787,0.15442,-0.26582,0.25664,0.15072,0.17952,0.17262,-0.03276,-0.25062
0.214,0.02812,-0.21682,-0.30658,0.15636,0.16276,-0.2553,0.26162,0.15492,0.18312,0.17606,-0.03058,-0.25062
0.216,0.03616,-0.20708,-0.30096,0.14892,0.16276,-0.2553,0.26662,0.15282,0.18312,0.17606,-0.03058,-0.25062
0.218,0.05224,-0.20708,-0.3122,0.14146,0.17946,-0.2553,0.26162,0.15282,0.17952,0.17434,-0.03494,-0.25434
0.22,0.05224,-0.2217,-0.32346,0.14892,0.19616,-0.27108,0.25166,0.15072,0.17952,0.17434,-0.03276,-0.25062
0.222,0.06832,-0.23144,-0.34596,0.14892,0.21286,-0.28688,0.24668,0.15072,0.17952,0.17434,-0.03058,-0.2469
0.224,0.06028,-0.24118,-0.35158,0.1638,0.21286,-0.29214,0.25166,0.15072,0.17952,0.17778,-0.0284,-0.2469
0.226,0.03616,-0.24118,-0.3347,0.17126,0.19616,-0.28688,0.25664,0.15282,0.17952,0.17606,-0.0284,-0.2469
0.228,0.02008,-0.24118,-0.32346,0.1787,0.17946,-0.2816,0.2417,0.14864,0.17592,0.17262,-0.03058,-0.2469
0.23,0.02812,-0.23144,-0.31784,0.17126,0.17946,-0.27108,0.24668,0.15072,0.17592,0.17262,-0.03058,-0.2469
0.232,0.02812,-0.22656,-0.31784,0.1638,0.17112,-0.26582,0.25664,0.15072,0.17772,0.17262,-0.0284,-0.2469
0.234,0.01204,-0.23144,-0.3122,0.1787,0.16276,-0.26582,0.25664,0.15072,0.17772,0.17606,-0.02622,-0.2432
0.236,0.03616,-0.22656,-0.31784,0.1638,0.17946,-0.27108,0.25664,0.15072,0.17772,0.17778,-0.0284,-0.2432
0.238,0.0442,-0.22656,-0.32346,0.15636,0.18782,-0.27108,0.25664,0.15282,0.17772,0.17778,-0.03058,-0.2469
0.24,0.03616,-0.23144,-0.32346,0.1638,0.18782,-0.27634,0.25166,0.15282,0.17772,0.17606,-0.03058,-0.25062
